sample_id,county,region,altitude_m,annual_rainfall_mm,temp_max_c,temp_min_c,soil_ph,humidity_pct,soil_nitrogen_pct,organic_carbon_pct,slope_degrees,drainage,soil_type,dominant_land_use,suitable_tea,suitable_maize,suitable_wheat,suitable_sorghum,suitable_coffee,suitable_beans
12,Murang'a,Central,1732.3,1339.9,24.8,14.8,5.43,70.7,2.119,2.645,17.9,Moderately drained,Humic Nitisols,Tea/Smallholder,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
13,Trans Nzoia,Rift Valley,2333.2,957.9,20.9,8.8,5.76,62.4,1.171,1.577,3.8,Well drained,Mollic Andosols,Wheat/Maize,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable
14,Bomet,Rift Valley,2096.0,1358.8,22.7,15.1,4.99,76.7,1.493,2.227,13.8,Well drained,Humic Nitisols,Tea/Dairy,Highly Suitable,Moderately Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Highly Suitable
15,Isiolo,Eastern,678.9,363.7,30.5,20.1,7.86,42.8,0.469,0.432,3.3,Excessively drained,Chromic Luvisols,Livestock,Not Suitable,Not Suitable,Not Suitable,Highly Suitable,Not Suitable,Moderately Suitable
16,Machakos,Eastern,1163.7,711.4,30.4,18.7,6.9,60.8,0.903,1.155,6.9,Moderately drained,Chromic Luvisols,Maize/Beans,Not Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Highly Suitable
17,Machakos,Eastern,1907.3,725.3,29.1,15.3,7.32,60.4,0.684,1.118,10.8,Moderately drained,Chromic Luvisols,Maize/Beans,Not Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Not Suitable,Highly Suitable
18,Vihiga,Western,1681.1,1445.1,23.5,16.5,4.92,77.1,1.836,1.779,9.8,Moderately drained,Ferric Luvisols,Tea/Maize,Highly Suitable,Highly Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Highly Suitable
19,Nyandarua,Central,2182.7,1172.7,20.4,7.9,6.24,70.4,1.389,2.615,9.5,Well drained,Humic Andosols,Wheat/Pyrethrum,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
20,Kiambu,Central,1658.2,1338.4,27.1,14.4,5.42,69.8,1.098,2.655,9.0,Moderately drained,Humic Nitisols,Tea/Horticulture,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
21,Makueni,Eastern,1720.3,861.9,27.5,20.4,7.83,59.4,0.487,0.945,3.0,Moderately drained,Chromic Luvisols,Sorghum/Mango,Not Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable
22,Vihiga,Western,1436.5,1527.5,27.7,15.4,5.61,70.1,1.515,1.453,12.4,Moderately drained,Ferric Luvisols,Tea/Maize,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
23,Siaya,Nyanza,1277.2,1123.8,30.7,15.5,6.4,69.5,0.977,1.595,1.8,Poorly drained,Eutric Vertisols,Maize/Sorghum,Not Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
24,Mandera,North Eastern,283.9,284.6,35.2,22.5,8.27,38.6,0.211,0.227,1.7,Excessively drained,Haplic Arenosols,Pastoralism,Not Suitable,Not Suitable,Not Suitable,Moderately Suitable,Not Suitable,Not Suitable
25,Homa Bay,Nyanza,1228.6,1179.6,29.2,16.7,6.53,64.4,0.631,1.749,6.8,Moderately drained,Chromic Luvisols,Maize/Sorghum,Not Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable
26,Bungoma,Western,1378.2,1463.3,27.9,14.0,5.37,69.3,1.687,2.124,4.5,Moderately drained,Ferric Luvisols,Sugarcane/Maize,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
27,Bungoma,Western,1863.2,1674.7,27.7,15.2,6.28,71.0,1.319,1.712,6.7,Moderately drained,Ferric Luvisols,Sugarcane/Maize,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable
28,Nairobi,Nairobi,1718.5,873.8,23.6,13.5,6.96,69.9,0.669,1.671,1.4,Moderately drained,Chromic Luvisols,Urban/Horticulture,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable
29,Kakamega,Western,1691.8,1949.9,24.9,16.4,5.16,80.5,1.76,2.935,2.6,Moderately drained,Ferric Luvisols,Tea/Sugarcane,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
30,Bomet,Rift Valley,1799.8,1388.1,20.8,15.3,5.39,69.0,1.919,2.835,4.3,Well drained,Humic Nitisols,Tea/Dairy,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
31,Migori,Nyanza,1670.9,1451.0,28.3,17.0,5.82,66.6,1.363,1.723,7.8,Moderately drained,Ferric Luvisols,Maize/Tea(marginal),Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable
32,Embu,Eastern,1255.0,1337.4,24.1,16.4,5.3,71.9,1.446,1.476,17.6,Moderately drained,Chromic Cambisols,Coffee/Tea,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
33,Machakos,Eastern,1724.7,546.9,31.2,17.4,6.76,60.1,0.554,1.194,3.7,Moderately drained,Chromic Luvisols,Maize/Beans,Not Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable
34,Bomet,Rift Valley,1738.0,1570.5,22.8,14.8,4.88,74.3,2.072,2.394,3.7,Well drained,Humic Nitisols,Tea/Dairy,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
35,Nandi,Rift Valley,2057.6,1654.4,23.5,12.1,5.25,71.9,1.824,2.851,9.1,Well drained,Humic Nitisols,Tea/Maize,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
36,Kakamega,Western,1404.1,1878.8,28.9,16.5,5.88,80.2,1.384,2.854,2.5,Moderately drained,Ferric Luvisols,Tea/Sugarcane,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
37,Nandi,Rift Valley,1727.8,1742.4,22.5,13.5,4.96,75.5,1.936,2.589,14.4,Well drained,Humic Nitisols,Tea/Maize,Highly Suitable,Highly Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Moderately Suitable
38,Marsabit,Eastern,1369.7,440.4,28.4,14.0,8.55,51.6,0.524,0.476,13.7,Excessively drained,Chromic Cambisols,Livestock,Not Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Not Suitable,Moderately Suitable
39,Trans Nzoia,Rift Valley,2425.9,1364.1,19.3,12.4,6.71,62.7,1.18,2.115,7.8,Well drained,Mollic Andosols,Wheat/Maize,Highly Suitable,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
40,Nyamira,Nyanza,1764.1,1601.5,26.1,15.1,5.54,73.7,1.473,2.508,5.9,Moderately drained,Humic Nitisols,Tea/Banana,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable
41,Tana River,Coast,352.1,411.6,30.8,22.7,7.63,67.3,0.522,0.74,3.1,Poorly drained,Eutric Vertisols,Irrigation/Livestock,Not Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Not Suitable,Moderately Suitable
42,Baringo,Rift Valley,1344.8,597.7,27.4,15.2,7.43,58.4,0.85,1.163,3.9,Moderately drained,Eutric Vertisols,Maize/Livestock,Not Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Not Suitable,Highly Suitable
43,Elgeyo Marakwet,Rift Valley,1593.9,1201.6,21.5,12.6,5.76,57.2,1.354,1.559,27.2,Well drained,Eutric Vertisols,Maize/Wheat,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
44,Kakamega,Western,1496.8,1472.2,26.2,15.2,5.65,76.0,1.51,2.615,2.4,Moderately drained,Ferric Luvisols,Tea/Sugarcane,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
45,Kericho,Rift Valley,2129.2,1734.9,24.5,14.8,4.56,81.0,2.305,4.153,5.2,Well drained,Humic Nitisols,Tea/Forest,Highly Suitable,Moderately Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Moderately Suitable
46,Trans Nzoia,Rift Valley,2084.4,1238.1,21.1,10.1,6.02,67.1,1.303,1.742,4.3,Well drained,Mollic Andosols,Wheat/Maize,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
47,Nandi,Rift Valley,1762.5,1833.0,22.8,13.1,5.17,74.0,2.122,3.725,14.4,Well drained,Humic Nitisols,Tea/Maize,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
48,Lamu,Coast,71.6,732.1,31.9,26.2,8.97,77.0,0.384,0.772,1.6,Poorly drained,Gleyic Cambisols,Coconut/Fishing,Not Suitable,Moderately Suitable,Not Suitable,Moderately Suitable,Not Suitable,Moderately Suitable
49,Kericho,Rift Valley,1759.4,1655.4,24.2,14.7,4.86,81.6,2.175,3.071,10.7,Well drained,Humic Nitisols,Tea/Forest,Highly Suitable,Highly Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Moderately Suitable
50,Bomet,Rift Valley,1686.3,1489.4,22.8,15.8,5.29,77.8,1.634,3.746,7.7,Well drained,Humic Nitisols,Tea/Dairy,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
51,Bomet,Rift Valley,1906.4,1665.7,25.3,12.3,4.99,73.5,1.763,3.501,12.0,Well drained,Humic Nitisols,Tea/Dairy,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Moderately Suitable
52,Wajir,North Eastern,377.0,147.6,35.4,21.3,7.98,30.2,0.204,0.269,2.8,Excessively drained,Haplic Arenosols,Pastoralism,Not Suitable,Not Suitable,Not Suitable,Moderately Suitable,Not Suitable,Not Suitable
53,Nyandarua,Central,2676.2,993.6,19.4,11.0,6.3,64.2,1.34,2.17,2.5,Well drained,Humic Andosols,Wheat/Pyrethrum,Moderately Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
54,Trans Nzoia,Rift Valley,2566.1,1169.2,20.7,8.4,6.33,64.6,1.325,2.083,2.7,Well drained,Mollic Andosols,Wheat/Maize,Moderately Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
55,Marsabit,Eastern,1430.3,431.0,29.9,21.9,7.59,32.9,0.377,0.234,14.7,Excessively drained,Chromic Cambisols,Livestock,Not Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Not Suitable,Moderately Suitable
56,Kakamega,Western,1708.8,1554.4,23.9,15.9,5.91,78.4,1.648,1.658,7.3,Moderately drained,Ferric Luvisols,Tea/Sugarcane,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
57,Kakamega,Western,1632.9,1680.5,27.0,16.8,5.73,76.7,1.417,2.146,3.1,Moderately drained,Ferric Luvisols,Tea/Sugarcane,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
58,Meru,Eastern,960.6,1128.4,30.2,19.4,5.46,58.9,1.677,1.701,15.8,Moderately drained,Chromic Cambisols,Tea/Miraa,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable
59,Vihiga,Western,1874.4,1557.1,27.0,13.2,5.44,70.7,1.847,2.473,13.6,Moderately drained,Ferric Luvisols,Tea/Maize,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
60,Meru,Eastern,1023.9,1428.3,29.4,19.3,5.37,66.2,1.501,2.224,13.2,Moderately drained,Chromic Cambisols,Tea/Miraa,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
61,Kwale,Coast,142.4,1006.3,31.8,24.5,6.96,68.9,0.734,1.548,3.5,Moderately drained,Ferralic Arenosols,Cashew/Coconut,Not Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable
62,Kwale,Coast,475.2,894.8,30.8,21.0,6.54,71.7,0.634,1.035,11.4,Moderately drained,Ferralic Arenosols,Cashew/Coconut,Not Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Highly Suitable
63,Lamu,Coast,25.2,880.1,31.6,24.8,7.48,77.6,0.483,0.557,1.7,Poorly drained,Gleyic Cambisols,Coconut/Fishing,Not Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Highly Suitable
64,Tana River,Coast,179.4,582.2,31.2,23.1,8.74,60.1,0.352,0.723,3.3,Poorly drained,Eutric Vertisols,Irrigation/Livestock,Not Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Not Suitable,Moderately Suitable
65,Machakos,Eastern,1042.2,492.4,26.0,18.2,7.54,50.9,0.697,0.921,10.0,Moderately drained,Chromic Luvisols,Maize/Beans,Not Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Highly Suitable
66,Turkana,Rift Valley,597.3,164.2,40.1,22.4,7.54,42.4,0.145,0.379,5.7,Excessively drained,Haplic Arenosols,Pastoralism,Not Suitable,Not Suitable,Not Suitable,Moderately Suitable,Not Suitable,Not Suitable
67,Kiambu,Central,2090.6,1490.4,25.9,15.4,5.28,73.5,1.158,2.737,14.9,Moderately drained,Humic Nitisols,Tea/Horticulture,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
68,Turkana,Rift Valley,1039.5,210.3,35.7,27.7,7.8,40.1,0.297,0.106,5.6,Excessively drained,Haplic Arenosols,Pastoralism,Not Suitable,Not Suitable,Not Suitable,Moderately Suitable,Not Suitable,Not Suitable
69,Tharaka Nithi,Eastern,1385.8,1042.3,29.2,15.8,6.08,61.6,0.715,1.782,21.3,Moderately drained,Chromic Cambisols,Mango/Miraa,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
70,Meru,Eastern,1681.6,974.7,23.8,16.6,5.36,68.5,1.715,1.781,10.2,Moderately drained,Chromic Cambisols,Tea/Miraa,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
71,Baringo,Rift Valley,2175.4,752.4,33.0,16.7,7.56,64.4,0.578,0.961,18.3,Moderately drained,Eutric Vertisols,Maize/Livestock,Not Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Moderately Suitable
72,Uasin Gishu,Rift Valley,1923.1,985.0,21.2,12.6,5.85,59.7,1.331,1.851,7.4,Well drained,Mollic Andosols,Wheat/Maize,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable
73,Homa Bay,Nyanza,1435.2,1375.7,28.1,20.8,6.74,60.6,1.144,1.284,5.1,Moderately drained,Chromic Luvisols,Maize/Sorghum,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
74,Tharaka Nithi,Eastern,1559.9,938.8,27.7,19.0,6.65,55.3,0.736,0.773,9.7,Moderately drained,Chromic Cambisols,Mango/Miraa,Not Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable
75,Kisii,Nyanza,1867.4,1816.9,26.3,16.6,4.97,72.8,1.36,2.141,10.9,Moderately drained,Humic Nitisols,Tea/Smallholder,Highly Suitable,Moderately Suitable,Moderately Suitable,Moderately Suitable,Moderately Suitable,Moderately Suitable
76,Homa Bay,Nyanza,1499.4,1387.6,29.9,17.3,6.98,70.9,0.945,1.496,9.3,Moderately drained,Chromic Luvisols,Maize/Sorghum,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
77,Nandi,Rift Valley,1644.1,1395.3,21.8,11.5,4.74,71.4,2.141,2.364,7.1,Well drained,Humic Nitisols,Tea/Maize,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
78,Bomet,Rift Valley,1803.9,1291.9,24.9,15.9,5.14,75.1,1.462,2.752,4.3,Well drained,Humic Nitisols,Tea/Dairy,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
79,Uasin Gishu,Rift Valley,1929.0,862.8,21.8,12.2,5.57,58.6,1.201,2.265,3.3,Well drained,Mollic Andosols,Wheat/Maize,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable
80,Machakos,Eastern,1395.5,768.9,24.2,14.0,6.46,58.6,0.473,0.614,10.0,Moderately drained,Chromic Luvisols,Maize/Beans,Not Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable
81,Kericho,Rift Valley,2185.0,1877.4,24.6,13.3,4.81,74.7,1.856,4.229,10.1,Well drained,Humic Nitisols,Tea/Forest,Highly Suitable,Moderately Suitable,Moderately Suitable,Not Suitable,Moderately Suitable,Moderately Suitable
82,Kirinyaga,Central,1660.2,1605.9,26.1,14.3,5.38,67.7,1.777,1.914,5.1,Well drained,Humic Andosols,Tea/Rice,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
83,Nakuru,Rift Valley,2214.7,776.3,20.6,11.4,7.65,65.6,0.986,1.299,14.7,Well drained,Eutric Vertisols,Wheat/Pyrethrum,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Not Suitable,Highly Suitable
84,Murang'a,Central,1888.4,1524.7,23.7,15.5,5.28,69.7,1.331,3.307,10.3,Moderately drained,Humic Nitisols,Tea/Smallholder,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
85,Kericho,Rift Valley,2031.8,1601.1,21.2,13.7,4.98,78.5,2.024,3.924,4.4,Well drained,Humic Nitisols,Tea/Forest,Highly Suitable,Moderately Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Moderately Suitable
86,Garissa,North Eastern,341.3,200.6,36.5,22.8,9.05,39.2,0.138,0.396,1.2,Excessively drained,Haplic Arenosols,Livestock,Not Suitable,Not Suitable,Not Suitable,Moderately Suitable,Not Suitable,Not Suitable
87,Kericho,Rift Valley,1788.7,1888.1,24.8,16.0,4.76,75.7,2.576,3.182,11.3,Well drained,Humic Nitisols,Tea/Forest,Highly Suitable,Moderately Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Moderately Suitable
88,Kakamega,Western,1653.8,1967.3,25.9,17.7,5.57,74.6,1.787,2.69,4.5,Moderately drained,Ferric Luvisols,Tea/Sugarcane,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable
89,Nyandarua,Central,2690.0,1389.8,16.1,11.4,5.23,67.5,1.851,3.313,8.6,Well drained,Humic Andosols,Wheat/Pyrethrum,Highly Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Moderately Suitable,Moderately Suitable
90,Kakamega,Western,1474.4,2007.9,26.3,15.9,5.14,73.8,1.81,2.245,5.5,Moderately drained,Ferric Luvisols,Tea/Sugarcane,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
91,Nyamira,Nyanza,1659.7,1373.4,26.0,12.7,4.79,72.4,1.727,2.213,8.6,Moderately drained,Humic Nitisols,Tea/Banana,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
92,Meru,Eastern,1676.2,1176.0,25.4,18.2,6.25,65.7,1.767,1.093,15.1,Moderately drained,Chromic Cambisols,Tea/Miraa,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable
93,Uasin Gishu,Rift Valley,1944.1,1055.9,18.8,8.6,6.67,68.3,1.474,2.017,2.3,Well drained,Mollic Andosols,Wheat/Maize,Moderately Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
94,Kitui,Eastern,1061.4,842.9,33.7,16.6,6.94,53.4,0.621,0.732,13.6,Moderately drained,Ferralic Cambisols,Sorghum/Cotton,Not Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Highly Suitable
95,Mandera,North Eastern,539.2,183.9,39.6,26.0,8.8,44.4,0.111,0.272,2.6,Excessively drained,Haplic Arenosols,Pastoralism,Not Suitable,Not Suitable,Not Suitable,Not Suitable,Not Suitable,Not Suitable
96,Bomet,Rift Valley,1797.6,1318.9,22.0,15.3,4.74,72.2,1.551,3.583,9.1,Well drained,Humic Nitisols,Tea/Dairy,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
97,Kiambu,Central,1510.3,1161.8,23.9,12.1,5.17,67.0,1.394,2.026,9.4,Moderately drained,Humic Nitisols,Tea/Horticulture,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
98,Elgeyo Marakwet,Rift Valley,2573.1,916.4,19.3,12.7,5.93,55.7,1.336,1.763,16.1,Well drained,Eutric Vertisols,Maize/Wheat,Moderately Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable
99,Nakuru,Rift Valley,1948.0,1128.6,27.0,14.0,6.04,61.1,1.211,0.964,5.0,Well drained,Eutric Vertisols,Wheat/Pyrethrum,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable
100,Kiambu,Central,1770.6,1254.7,24.2,14.3,5.98,73.8,1.326,2.576,12.2,Moderately drained,Humic Nitisols,Tea/Horticulture,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
101,Garissa,North Eastern,121.5,227.6,39.5,23.1,8.18,41.1,0.362,0.119,1.2,Excessively drained,Haplic Arenosols,Livestock,Not Suitable,Not Suitable,Not Suitable,Moderately Suitable,Not Suitable,Not Suitable
102,Mandera,North Eastern,298.0,257.0,42.0,28.9,9.42,28.8,0.242,0.135,1.2,Excessively drained,Haplic Arenosols,Pastoralism,Not Suitable,Not Suitable,Not Suitable,Moderately Suitable,Not Suitable,Not Suitable
103,Isiolo,Eastern,664.1,313.8,30.5,17.4,7.06,52.7,0.203,0.642,2.4,Excessively drained,Chromic Luvisols,Livestock,Not Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Moderately Suitable
104,Kakamega,Western,1788.6,1662.0,26.7,14.8,5.55,75.8,1.445,2.275,2.0,Moderately drained,Ferric Luvisols,Tea/Sugarcane,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
105,Meru,Eastern,1511.6,1148.9,29.1,15.6,5.43,60.2,0.87,1.334,18.3,Moderately drained,Chromic Cambisols,Tea/Miraa,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
106,Vihiga,Western,1828.5,1702.9,27.2,13.8,5.76,70.6,1.811,1.861,9.1,Moderately drained,Ferric Luvisols,Tea/Maize,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable
107,Bomet,Rift Valley,1642.3,1470.7,24.0,15.4,4.87,71.8,2.128,3.483,7.2,Well drained,Humic Nitisols,Tea/Dairy,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
108,Garissa,North Eastern,371.0,224.6,41.9,26.9,8.92,48.7,0.317,0.176,1.3,Excessively drained,Haplic Arenosols,Livestock,Not Suitable,Not Suitable,Not Suitable,Moderately Suitable,Not Suitable,Not Suitable
109,Nyandarua,Central,2787.0,1137.7,19.8,6.3,5.61,65.8,1.999,2.117,13.5,Well drained,Humic Andosols,Wheat/Pyrethrum,Moderately Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
110,Kisii,Nyanza,1646.5,1531.6,23.5,16.8,4.85,73.0,1.368,2.045,7.5,Moderately drained,Humic Nitisols,Tea/Smallholder,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
